"","asdcase","group","time","n","mean","sd","median","min","max"
"1",0,1,"1",24,18.6757246376812,9.39549527687429,17.5,5.21739130434783,41
"2",0,1,"2",18,11.8888888888889,7.25898136500682,10,3,32
"3",0,1,"3",13,11.2307692307692,7.71528619207616,10,1,28
"4",0,2,"1",25,23.8667826086957,8.45132127267318,23,9,41
"5",0,2,"2",11,18.7768595041322,8.15210398602398,18,6.54545454545455,40
"6",0,2,"3",5,15.6,3.50713558335004,16,12,21
"7",0,3,"1",22,20.0836456034084,9.32574553691181,20.72049689441,3,38
"8",0,3,"2",20,18.3147826086957,9.04999923319245,18,5,40
"9",0,3,"3",0,NA,NA,NA,Inf,-Inf
"10",1,1,"1",6,25.7898550724638,13.5974649218131,27,2,41.7391304347826
"11",1,1,"2",5,17.0608695652174,11.7896898343177,16,6,35
"12",1,1,"3",5,22.1304347826087,11.3854531935905,20,9,39.6521739130435
"13",1,2,"1",3,26,12.2882057274445,31,12,35
"14",1,2,"2",2,22.8043478260869,22.3507230401139,22.8043478260869,7,38.6086956521739
"15",1,2,"3",0,NA,NA,NA,Inf,-Inf
"16",1,3,"1",4,18,11.4309521329882,19,4,30
"17",1,3,"2",2,16,8.48528137423857,16,10,22
"18",1,3,"3",0,NA,NA,NA,Inf,-Inf
