"","asdcase","group","time","n","mean","sd","median","min","max"
"1",0,1,"1",24,1.73809523809524,0.62293729421421,1.5,1,3.14285714285714
"2",0,1,"2",17,1.3781512605042,0.557740468113897,1.14285714285714,1,3.14285714285714
"3",0,1,"3",13,1.35164835164835,0.427042449639172,1.14285714285714,1,2.42857142857143
"4",0,2,"1",25,2.20285714285714,0.794269203513067,2.28571428571429,1,3.85714285714286
"5",0,2,"2",11,1.87012987012987,0.492617106991004,1.85714285714286,1.14285714285714,2.71428571428571
"6",0,2,"3",5,1.46666666666667,0.600830868403333,1.14285714285714,1,2.33333333333333
"7",0,3,"1",21,2.02040816326531,0.789323805526506,2,1,3.42857142857143
"8",0,3,"2",20,1.68690476190476,0.488272478364342,1.57142857142857,1,2.71428571428571
"9",0,3,"3",0,NA,NA,NA,Inf,-Inf
"10",1,1,"1",6,2.33333333333333,1.24430676271082,2,1.14285714285714,4.71428571428571
"11",1,1,"2",5,2.05714285714286,1.27215067776532,1.71428571428571,1,4.14285714285714
"12",1,1,"3",5,2.14285714285714,1.64440920474591,1.57142857142857,1,5
"13",1,2,"1",3,2.65714285714286,1.70161987649464,2.57142857142857,1,4.4
"14",1,2,"2",2,2.35714285714285,1.71725932573876,2.35714285714285,1.14285714285714,3.57142857142857
"15",1,2,"3",0,NA,NA,NA,Inf,-Inf
"16",1,3,"1",4,1.60714285714286,0.513425206020188,1.5,1.14285714285714,2.28571428571429
"17",1,3,"2",2,1.5,0.50507627227611,1.5,1.14285714285714,1.85714285714286
"18",1,3,"3",0,NA,NA,NA,Inf,-Inf
