"","asdcase","group","time","n","mean","sd","median","min","max"
"1",0,1,"1",24,2.64166666666667,1.96223401225251,2.1,0.2,6.6
"2",0,1,"2",18,1.94722222222222,1.16423065005863,1.7,0,4.5
"3",0,1,"3",13,2.63076923076923,1.35854371502761,2.2,0.4,4.8
"4",0,2,"1",25,3.528,2.11019746311414,3.2,0.4,8.6
"5",0,2,"2",11,3.25454545454545,1.81348484215537,3.2,0.2,6.8
"6",0,2,"3",5,2.96,1.72278843738864,2.8,0.6,5.4
"7",0,3,"1",22,2.7,2.12266678631251,2.4,0,6.6
"8",0,3,"2",20,2.15,1.07776572007483,2.2,0.2,4
"9",0,3,"3",0,NA,NA,NA,Inf,-Inf
"10",1,1,"1",6,2.73333333333333,3.06115446631931,1.8,0.2,8.8
"11",1,1,"2",5,2.44,3.01463098902668,2,0,7.6
"12",1,1,"3",5,3.28,3.89512515845127,2.4,0,10
"13",1,2,"1",3,1.93333333333333,1.51437555888007,2.6,0.2,3
"14",1,2,"2",2,3,4.24264068711928,3,0,6
"15",1,2,"3",0,NA,NA,NA,Inf,-Inf
"16",1,3,"1",4,1.85,2.28254244210267,0.9,0.4,5.2
"17",1,3,"2",2,1.3,1.27279220613579,1.3,0.4,2.2
"18",1,3,"3",0,NA,NA,NA,Inf,-Inf
