"","asdcase","group","time","n","mean","sd","median","min","max"
"1",0,1,"1",24,38.5833333333333,7.04591566343452,38,28,54
"2",0,1,"2",17,39.5294117647059,8.06316971682681,35,29,52
"3",0,1,"3",14,39.5714285714286,6.82432623571211,39,30,50
"4",0,2,"1",24,43.6666666666667,6.10535521643422,42.5,33,57
"5",0,2,"2",9,38,7.96868872525461,35,28,53
"6",0,2,"3",5,39.4,9.50263121456368,35,29,50
"7",0,3,"1",25,45.52,8.30220854150669,45,28,65
"8",0,3,"2",22,41.2727272727273,8.82734829504749,39,28,57
"9",0,3,"3",0,NA,NA,NA,Inf,-Inf
"10",1,1,"1",6,34.1666666666667,6.01387285088957,34,28,44
"11",1,1,"2",5,37.8,12.0291313069565,35,28,57
"12",1,1,"3",5,29.4,2.60768096208106,28,28,34
"13",1,2,"1",3,29,1,29,28,30
"14",1,2,"2",2,35,9.89949493661167,35,28,42
"15",1,2,"3",0,NA,NA,NA,Inf,-Inf
"16",1,3,"1",5,33.8,4.81663783151692,31,29,39
"17",1,3,"2",4,30.75,3.20156211871642,30.5,28,34
"18",1,3,"3",0,NA,NA,NA,Inf,-Inf
