"","asdcase","group","time","n","mean","sd","median","min","max"
"1",0,1,"1",24,38.2083333333333,11.0452790098665,34,28,64
"2",0,1,"2",19,36.7368421052632,10.3914607317908,33,28,63
"3",0,1,"3",14,32.8571428571429,4.18526982600686,34,28,39
"4",0,2,"1",24,38.5416666666667,12.1260738356101,35,28,64
"5",0,2,"2",11,35.3636363636364,10.5761309302857,33,28,63
"6",0,2,"3",5,31.8,3.76828873628335,32,28,36
"7",0,3,"1",25,40.04,10.6750487898963,37,28,67
"8",0,3,"2",22,32.2272727272727,4.9273949282781,30,28,43
"9",0,3,"3",0,NA,NA,NA,Inf,-Inf
"10",1,1,"1",6,32.5,7.39594483484024,29.5,28,47
"11",1,1,"2",5,35.6,13.4275835502893,28,28,59
"12",1,1,"3",5,28,0,28,28,28
"13",1,2,"1",3,28.6666666666667,1.15470053837925,28,28,30
"14",1,2,"2",2,32,5.65685424949238,32,28,36
"15",1,2,"3",0,NA,NA,NA,Inf,-Inf
"16",1,3,"1",5,32.2,4.26614580154031,32,28,37
"17",1,3,"2",4,28,0,28,28,28
"18",1,3,"3",0,NA,NA,NA,Inf,-Inf
