"","asdcase","group","time","n","mean","sd","median","min","max"
"1",0,1,"1",23,0.517817934350797,0.242859955788316,0.5,0.107142857142857,1.06451612903226
"2",0,1,"2",19,0.334972581620904,0.164478107018981,0.354838709677419,0.032258064516129,0.645161290322581
"3",0,1,"3",13,0.240694789081886,0.142213428136914,0.258064516129032,0.032258064516129,0.516129032258065
"4",0,2,"1",24,0.552777777777778,0.216940975236372,0.540860215053763,0.193548387096774,1.03225806451613
"5",0,2,"2",11,0.569012707722385,0.225735174711543,0.533333333333333,0.290322580645161,1.09677419354839
"6",0,2,"3",5,0.502795698924731,0.271811921059595,0.366666666666667,0.258064516129032,0.9
"7",0,3,"1",22,0.477880960139025,0.189323782693209,0.46774193548387,0.129032258064516,0.766666666666667
"8",0,3,"2",19,0.515789473684211,0.350875564152303,0.483870967741935,0.0645161290322581,1.38709677419355
"9",0,3,"3",0,NA,NA,NA,Inf,-Inf
"10",1,1,"1",6,0.737634408602151,0.407309784146296,0.704301075268817,0.129032258064516,1.29032258064516
"11",1,1,"2",5,0.588172043010753,0.397842196969406,0.516129032258065,0.166666666666667,1.03225806451613
"12",1,1,"3",5,0.658064516129032,0.470569871711238,0.741935483870968,0.129032258064516,1.32258064516129
"13",1,2,"1",3,0.903225806451613,0.392436292277305,0.709677419354839,0.645161290322581,1.35483870967742
"14",1,2,"2",2,0.93,0.806101730552664,0.93,0.36,1.5
"15",1,2,"3",0,NA,NA,NA,Inf,-Inf
"16",1,3,"1",4,0.703837597330367,0.350470383946673,0.67741935483871,0.32258064516129,1.13793103448276
"17",1,3,"2",2,0.710215053763439,0.456958253218401,0.710215053763439,0.387096774193548,1.03333333333333
"18",1,3,"3",0,NA,NA,NA,Inf,-Inf
