"","asdcase","group","time","n","mean","sd","median","min","max"
"1",0,1,"1",24,0.276360028092757,0.337203346893362,0.215305460276258,0,1.21457489878543
"2",0,1,"2",18,5.62407875121481,2.84789440895955,6.11679871806285,1.00603621730382,11.4503816793893
"3",0,1,"3",13,3.71597872492423,3.63686630798391,2.63157894736842,0.803212851405622,14.1479099678457
"4",0,2,"1",26,0.425495968834284,0.715503076367742,0,0,2.78481012658228
"5",0,2,"2",10,0.735929104012132,0.924754837460904,0.445937450887946,0,2.97029702970297
"6",0,2,"3",5,0.38917701503294,0.219221505344321,0.3690036900369,0.171526586620926,0.735294117647059
"7",0,3,"1",25,0.4939211293203,0.766086885079991,0,0,2.96296296296296
"8",0,3,"2",22,0.545286386628679,0.718205287446603,0.27199074074074,0,2.91970802919708
"9",0,3,"3",1,1.27041742286751,NA,1.27041742286751,1.27041742286751,1.27041742286751
"10",1,1,"1",6,0,0,0,0,0
"11",1,1,"2",4,5.15184291590321,1.03410785966842,5.0198043214803,4.06091370558376,6.50684931506849
"12",1,1,"3",5,2.5407338231734,1.99193001811532,1.6025641025641,0.301204819277108,4.85436893203883
"13",1,2,"1",3,0,0,0,0,0
"14",1,2,"2",2,0.339366515837104,0.479936729312136,0.339366515837104,0,0.678733031674208
"15",1,2,"3",0,NA,NA,NA,Inf,-Inf
"16",1,3,"1",5,0.228308190746178,0.366150929336358,0,0,0.840336134453782
"17",1,3,"2",4,0.533807829181495,1.06761565836299,0,0,2.13523131672598
"18",1,3,"3",0,NA,NA,NA,Inf,-Inf
