"","group","time","n","mean","sd","median","min","max"
"1",1,NA,NA,NA,NA,NA,NA,NA
"2",1,"1",22,11.1590909090909,2.68765415343657,11.5,7,16
"3",1,"2",18,11.1111111111111,2.49443825784929,11,7,16
"4",1,"3",12,13.25,2.86435777348875,13.5,7,17
"5",2,NA,NA,NA,NA,NA,NA,NA
"6",2,"1",25,10.58666666668,2.87595394801196,10,6,16
"7",2,"2",10,9.7,1.70293863659264,10,6,12
"8",2,"3",4,14.5,1,15,13,15
"9",3,NA,NA,NA,NA,NA,NA,NA
"10",3,"1",22,10.8136363636364,2.93943555555848,10,6,17
"11",3,"2",17,9.94117647058824,2.51173715372683,10,6,16
"12",3,"3",0,NA,NA,NA,Inf,-Inf
"13",1,NA,NA,NA,NA,NA,NA,NA
"14",1,"1",6,10.6666666666667,3.98329846567724,10,6,18
"15",1,"2",3,10.3333333333333,4.04145188432738,8,8,15
"16",1,"3",4,9.75,1.70782512765993,9.5,8,12
"17",2,NA,NA,NA,NA,NA,NA,NA
"18",2,"1",3,10.6666666666667,3.78593889720018,9,8,15
"19",2,"2",2,8,1.4142135623731,8,7,9
"20",2,"3",0,NA,NA,NA,Inf,-Inf
"21",3,NA,NA,NA,NA,NA,NA,NA
"22",3,"1",5,10.2,2.48997991959775,11,6,12
"23",3,"2",4,8.725,3.30189339621981,8.45,5,13
"24",3,"3",0,NA,NA,NA,Inf,-Inf
